codigo,codigo_produto,descr_detalhada,descricao,url_imagem
04.MP.N.90557,10408353551,"CABO FLEXIVEL 1,5MM VERDE descrição detalhada","CABO FLEXIVEL 1,50MM VERDE",
FH100F60,10408353569,,BOMBA DE CALOR AGUA QUENTE FH100 TRI 220V 60C,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/b3267ce9de5d56b395cf23401749b5de/omie___fh100__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751603888&Signature=%2fUIXQWz%2bQMUx3aPZfKVSWrwgXyc%3d
FH100F60T,10408353573,,BOMBA DE CALOR AGUA QUENTE FH100 TRI 220V 60C TOUCH,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/0eb3b044ec9c31d390bb4bee65daf0c4/omie___fh100__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751603888&Signature=XpWvt6DgZ7avUxOui75VgLYcME8%3d
FH100H60T,10408353575,,BOMBA DE CALOR AGUA QUENTE FH100 TRI 220V 60C TOUCH DEGELO,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/0041e55b7d0776e46bbfd7935ddecc35/omie___fh100__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751603888&Signature=2JVPrFi8oxfGSdhvGvjMLozN9U0%3d
FH100J60,10408353583,,BOMBA DE CALOR AGUA QUENTE FH100 TRI 380V 60C,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/43932f6068e6451b65bb672110f18ca2/omie___fh100__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751603888&Signature=bnADY8SXYlmlCbO7zQ9643tpcL4%3d
FH100J60T,10408353587,,BOMBA DE CALOR AGUA QUENTE FH100 TRI 380V 60C TOUCH,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/8d9efc34963b633f4d7a682871177988/omie___fh100__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751603888&Signature=jpbHe1KZUndw0i1rOTkewNtgIG0%3d
FH100L60T,10408353589,,BOMBA DE CALOR AGUA QUENTE FH100 TRI 380V 60C TOUCH DEGELO,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/36ec9bff5cd1823af9ec6608906492aa/omie___fh100__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751603888&Signature=nUW1d7kCOGDKoyUVB%2bfopmAv%2f%2b0%3d
FH160H45T,10408353603,,BOMBA DE CALOR ÁGUA QUENTE FH160 TRI 220V 45ºC TOUCH DEGELO,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/f24da0bb82dce7725279fdb2191882f6/omie___fh160__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751658945&Signature=46vv0nSDBedjew8E9EVFxWz6mRA%3d
FH160F60T,10408353610,,BOMBA DE CALOR AGUA QUENTE FH160 TRI 220V 60C TOUCH,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/b1e11d90e605ca44fcfccc73f81c3f1e/omie___fh160__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751603888&Signature=aqBX1q8hBhx4YbLADcZO%2bR7azC4%3d
FH160H60T,10408353614,,BOMBA DE CALOR AGUA QUENTE FH160 TRI 220V 60C TOUCH DEGELO,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/cf5e92387fc6908221c99250cb739a4e/omie___fh160__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751603888&Signature=bobsfqHsVYFDa8kv%2bcRA4b8E6YM%3d
FH160J60,10408353622,,BOMBA DE CALOR AGUA QUENTE FH160 TRI 380V 60C,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/54803301833ec7c1f5619e2258ce47dc/omie___fh160__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751603888&Signature=vS%2feeZCMigkQpGCkEC6JjaJB2T4%3d
FH160J60T,10408353624,,BOMBA DE CALOR AGUA QUENTE FH160 TRI 380V 60C TOUCH,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/7dfe51f0bab7c133559e5a6a14344ce3/omie___fh160__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751603888&Signature=DZT69wrlrmbJKFFxHBWSyyYYIT8%3d
FH160L60T,10408353626,,BOMBA DE CALOR AGUA QUENTE FH160 TRI 380V 60C TOUCH DEGELO,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/36a38cd718d72b4db2e9406ff6259f11/omie___fh160__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751603888&Signature=ViEIevv28Q1pGHtbuW6jGTf5Z8o%3d
FH240H60T,10408353645,,BOMBA DE CALOR AGUA QUENTE FH240 TRIFASICA 220V 60C DEGELO,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/4acd6ca287879c808a002b9c1b3c685e/omie___fh240__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751658945&Signature=od7gwCkFw5DXbpOWJFq9tZJGvYw%3d
FH240F60T,10408353647,,BOMBA DE CALOR AGUA QUENTE FH240 TRIFASICA 220V 60C TOUCH,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/e72e7b1d7df2b40390e677d76b89d5de/omie___fh240__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751603888&Signature=4xxOBXdnbgcSa3K0TbB68l2Li2Y%3d
FH240L60T,10408353655,,BOMBA DE CALOR AGUA QUENTE FH240 TRIFASICA 380V 60C DEGELO,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/75b33ac78a5cc4c30807f6bdd8de7276/omie___fh240__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751658945&Signature=AkFjBHe%2f4NGMmE2bnj1DsAmHDPU%3d
FH40B60,10408353665,,BOMBA DE CALOR AGUA QUENTE FH40 MONO 220V 60C,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/b06b9e4fbf8b68c50e9cc3d6cf04d38e/omie___fh40__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751603888&Signature=W3B3bzfV7kB7qmvgitMp1JVh57o%3d
FH40B60T,10408353670,,BOMBA DE CALOR AGUA QUENTE FH40 MONO 220V 60C TOUCH,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/8ab01cf78d86f48bd7b804a9cabbb1c9/omie___fh40__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751603888&Signature=1MopZnXlT8ad7RbkU1uDOKCiskw%3d
FH40D60T,10408353673,,BOMBA DE CALOR AGUA QUENTE FH40 MONO 220V 60C TOUCH DEGELO,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/0b71c9365dfcdc5a22bb79be4e3af16d/omie___fh40__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751603888&Signature=6vkH8AT839ZmNtnuwm3B20zNba4%3d
FH80F60,10408353702,,BOMBA DE CALOR AGUA QUENTE FH80 TRI 220V 60C,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/b971997bc330ad814a4f10f4c204b92e/omie___fh80__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751603888&Signature=e8GXf5S8vOAjS%2b0BicHfD5YZp10%3d
FH80F60T,10408353706,,BOMBA DE CALOR AGUA QUENTE FH80 TRI 220V 60C TOUCH,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/2644f14606471ac3f561efcce9584947/omie___fh80__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751603888&Signature=9oTcdNOlrap5s4b5pINX1m1V390%3d
FH80H60T,10408353708,,BOMBA DE CALOR AGUA QUENTE FH80 TRI 220V 60C TOUCH DEGELO,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/932b02d60c57d400e7e6c231501bb44d/omie___fh80__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751603888&Signature=KRERWPaDLZJH5S4ohV6yx4RQv%2fY%3d
FH80J60,10408353715,,BOMBA DE CALOR AGUA QUENTE FH80 TRI 380V 60C,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/b5d388b01c6442202183c43d0042fae0/omie___fh80__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751603888&Signature=qgMKhPM2DfIhcMRJBVbfCS%2f0VIM%3d
FH80J60T,10408353719,,BOMBA DE CALOR AGUA QUENTE FH80 TRI 380V 60C TOUCH,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/b8def8402f1ea34bc4b46c31aec7aaff/omie___fh80__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751603888&Signature=NoYN1VrtaET0KAkDxmuPObA7ubM%3d
FH80L60T,10408353721,,BOMBA DE CALOR AGUA QUENTE FH80 TRI 380V 60C TOUCH DEGELO,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/0d29e373136ffa8aec0e6778898dc340/omie___fh80__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751603888&Signature=xUeC%2bAhxGZXMTX2SBrGSxcCjw34%3d
FH240J60T,10408353731,,BOMBA DE CALOR FH240 TRIFASICA 380V 60C TOUCH,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/4f547b97aaccad6a01ad1fd3c61aec12/omie___fh240__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751603888&Signature=IUAbI3ajR5yNjBgG0RU6QWcbpqI%3d
